assessmentItemID,testId,KnowledgeTag
A050019001,A050000019,2622
A010003003,A010000003,6806
A010138002,A010000138,6807
A070097007,A070000097,8894
A080079001,A080000079,26
A010005005,A010000005,6308
A050115002,A050000115,5286
A060030001,A060000030,595
A030180005,A030000180,1935
A060058001,A060000058,611
A040131002,A040000131,10615
A040167005,A040000167,2116
A030077004,A030000077,481
A060049001,A060000049,601
A090025005,A090000025,10169
A040114001,A040000114,2098
A020194002,A020000194,8096
A020021002,A020000021,7693
A080107005,A080000107,8289
A060158005,A060000158,1458